run_id;language;size;run_idx;time_ms;cpu_pct;peak_mib
23/10/06/34;Python;64;1;80.391;12.1;42.24
23/10/06/34;Python;64;2;78.736;12.4;42.25
23/10/06/34;Python;64;3;79.329;12.3;42.25
23/10/06/34;Python;128;1;616.984;12.7;42.25
23/10/06/34;Python;128;2;602.226;12.3;41.60
23/10/06/34;Python;128;3;626.440;12.5;41.60
23/10/06/34;Python;256;1;4831.368;12.5;42.17
23/10/06/34;Python;256;2;5116.175;12.3;42.17
23/10/06/34;Python;256;3;5004.542;12.4;42.17
23/10/06/34;Python;512;1;38925.452;12.4;44.42
23/10/06/34;Python;512;2;38997.353;12.3;44.43
23/10/06/34;Python;512;3;38677.518;12.4;44.39
23/10/06/34;Python;1024;1;336516.543;12.4;51.39
23/10/06/34;Python;1024;2;343959.322;12.3;41.14
23/10/06/34;Python;1024;3;338548.616;12.4;18.57
23/10/06/55;Java;64;1;2.549;0.0;1.24
23/10/06/55;Java;64;2;0.909;0.0;1.26
23/10/06/55;Java;64;3;1.204;0.0;1.26
23/10/06/55;Java;128;1;2.481;0.0;1.55
23/10/06/55;Java;128;2;1.965;0.0;1.55
23/10/06/55;Java;128;3;2.404;0.0;1.55
23/10/06/55;Java;256;1;16.564;23.6;2.69
23/10/06/55;Java;256;2;17.276;11.3;2.68
23/10/06/55;Java;256;3;19.956;9.8;2.70
23/10/06/55;Java;512;1;176.634;13.3;7.23
23/10/06/55;Java;512;2;167.069;12.9;7.23
23/10/06/55;Java;512;3;168.444;12.8;7.23
23/10/06/55;Java;1024;1;4796.028;12.4;25.43
23/10/06/55;Java;1024;2;4725.661;12.5;25.44
23/10/06/55;Java;1024;3;4983.746;12.2;25.53
23/10/06/57;C;64;1;0.131;0.0;3.83
23/10/06/57;C;64;2;0.130;0.0;3.88
23/10/06/57;C;64;3;0.129;0.0;3.88
23/10/06/57;C;128;1;2.031;0.0;4.06
23/10/06/57;C;128;2;2.016;0.0;4.06
23/10/06/57;C;128;3;2.036;0.0;4.06
23/10/06/57;C;256;1;18.444;21.2;4.63
23/10/06/57;C;256;2;16.964;11.5;4.63
23/10/06/57;C;256;3;16.495;11.8;4.63
23/10/06/57;C;512;1;281.680;12.5;7.64
23/10/06/57;C;512;2;301.642;12.3;6.85
23/10/06/57;C;512;3;291.484;12.1;6.85
23/10/06/57;C;1024;1;7811.602;12.4;15.85
23/10/06/57;C;1024;2;7601.550;12.3;15.85
23/10/06/57;C;1024;3;7636.931;12.5;15.85
