run_id;language;size;runs;avg_time_ms;min_time_ms;max_time_ms;cpu_pct_avg;peak_mib
23/10/06/57;C;64;3;0,130;0,129;0,131;0,0;3,88
23/10/06/57;C;128;3;2,028;2,016;2,036;0,0;4,06
23/10/06/57;C;256;3;17,301;16,495;18,444;14,8;4,63
23/10/06/57;C;512;3;291,602;281,680;301,642;12,3;7,64
23/10/06/57;C;1024;3;7683,361;7601,550;7811,602;12,4;15,85
23/10/06/55;Java;64;3;1,554;0,909;2,549;0,0;1,26
23/10/06/55;Java;128;3;2,283;1,965;2,481;0,0;1,55
23/10/06/55;Java;256;3;17,932;16,564;19,956;14,9;2,70
23/10/06/55;Java;512;3;170,716;167,069;176,634;13,0;7,23
23/10/06/55;Java;1024;3;4835,145;4725,661;4983,746;12,4;25,53
23/10/06/34;Python;64;3;79,485;78,736;80,391;12,3;42,25
23/10/06/34;Python;128;3;615,217;602,226;626,440;12,5;42,25
23/10/06/34;Python;256;3;4984,028;4831,368;5116,175;12,4;42,17
23/10/06/34;Python;512;3;38866,774;38677,518;38997,353;12,4;44,43
23/10/06/34;Python;1024;3;339674,827;336516,543;343959,322;12,4;51,39
